Gold (OG|GC) OG3Q6 (1.66 DTE) vs 4546.8 (+35.5) - Open Interest Change
Put: 566  Call: 674  Vol: 26.74  Vol Chg: 0.17  Future Chg: 35.5
Strike,Call,Put,Vol Settle
4310,0,0,0.3419934495956056
4315,0,2,0.3367004679714398
4320,0,17,0.3316188500163264
4325,0,6,0.3267457021955522
4330,0,1,0.32207814038596894
4335,0,10,0.31761328987377624
4340,1,4,0.3133482853539249
4345,0,1,0.3092802709326463
4350,-1,184,0.30540640012492304
4355,0,4,0.3017238358570751
4360,1,15,0.2982297504625251
4365,0,7,0.29492132568697116
4370,0,0,0.2917957526852888
4375,-2,-10,0.28885023202116145
4380,3,4,0.28608197366881427
4385,1,13,0.2834881970127583
4390,2,12,0.28106613084628407
4395,1,2,0.2788130133739344
4400,14,-1,0.27672609220800837
4405,3,3,0.27480262437242686
4410,12,0,0.2730398762996913
4415,1,2,0.2714351238329016
4420,18,2,0.26998565222464777
4425,-14,-8,0.2686887561376068
4430,3,0,0.2675417396439741
4435,1,0,0.26654191622534995
4440,9,0,0.265686608773791
4445,1,0,0.26497314959067353
4450,11,0,0.26439888038788695
4455,13,0,0.263961152286015
4460,4,0,0.26365732581695056
4465,2,0,0.26348477092088274
4470,2,0,0.2634408669486561
4475,0,0,0.26352300266049156
4480,7,0,0.26372857622706647
4485,12,0,0.2640549952279798
4490,0,0,0.2644996766535428
4495,2,0,0.265060046902704
4500,412,0,0.26573354178555064
4505,21,0,0.26651760652094936
4510,5,0,0.26740969573836537
4515,29,0,0.2684072734761571
4520,20,0,0.2695078131823152
4525,-4,0,0.2707087977169067
4530,0,0,0.27200771934752765
4535,1,0,0.27340207975214526
4540,3,0,0.2748893900186431
4545,5,0,0.2764671706440822
4550,1,0,0.2781329515366906
4555,0,0,0.27988427201319155
4560,6,0,0.2817186808014185
4565,5,0,0.28363373603718856
4570,0,0,0.2856270052680543
4575,1,0,0.2876960654502341
4580,0,0,0.28983850294957847
4585,0,0,0.29205191354236604
4590,0,0,0.2943339024149054
4595,0,0,0.29668208416194375
4600,-6,0,0.2990940827900772
4605,20,0,0.30156753171377204
4610,0,0,0.3041000737584909
4615,0,0,0.3066893611585897
4620,5,0,0.3093330555598186
4625,5,0,0.3120288280151158
4630,0,0,0.31477435898978
4635,0,0,0.317567338358117
4640,0,0,0.3204054654030415
4645,0,0,0.32328644881920354
4650,1,0,0.3262080067094075
4655,0,0,0.32916786658711317
4660,0,0,0.3321637653756966
4665,0,0,0.3351934494075408
4670,0,0,0.3382546744256274
4675,6,0,0.34134520558239956
4680,0,0,0.3444628174408422
4685,0,0,0.3476052939716965
4690,0,0,0.3507704285575528
4695,0,0,0.35395602399012205
4700,1,0,0.35715989247131574
4705,0,0,0.36037985561154073
4710,0,0,0.363613744432314
4715,6,0,0.36685939936467094
4720,0,0,0.37011467024967715
4725,0,0,0.3733774163368935
4730,7,0,0.3766455062871614
4735,0,0,0.3799168181703294
4740,0,0,0.3831892394667875
4745,0,0,0.38646066706621696
4750,0,0,0.38972900726741955
4755,0,0,0.39299217577956824
4760,0,0,0.3962480977235714
4765,0,0,0.3994947076265021
4770,0,0,0.40272994942779405
4775,0,0,0.4059517764752627
4780,0,0,0.40915815152879986
4785,0,0,0.41234704675520106
4790,0,0,0.4155164437328267
4795,0,0,
